Station_ID_C,PositionName,Year,mon,day,Hour,aqi,CO,NO2,O3,PM10,PM2_5,SO2
2568A,马师校,2026,4,23,21,54.0,0.2,4.0,119.0,55.0,24.0,6.0
3994A,马尔康中学西区,2026,4,23,21,56.0,0.2,4.0,118.0,58.0,25.0,4.0
2695A,电视台,2026,4,23,21,150.0,0.5,8.0,111.0,238.0,115.0,4.0
2696A,艺术中心,2026,4,23,21,162.0,0.5,13.0,108.0,191.0,123.0,3.0
2205A,蒙二幼,2026,4,23,21,96.0,0.5,12.0,87.0,114.0,37.0,8.0
2206A,环保局新楼,2026,4,23,21,92.0,0.5,5.0,93.0,108.0,34.0,8.0
2708A,市站,2026,4,23,21,37.0,0.2,28.0,88.0,37.0,11.0,5.0
4166A,阿勒泰路33号,2026,4,23,21,35.0,0.2,12.0,110.0,32.0,6.0,6.0
2630A,阿里监测站,2026,4,23,21,0.0,0.3,1.0,0.0,8.0,3.0,5.0
3192A,阿里藏医院,2026,4,23,21,36.0,0.3,1.0,114.0,8.0,2.0,6.0
2644A,汉滨区检察院,2026,4,23,21,36.0,0.4,22.0,57.0,36.0,12.0,6.0
4054A,市邮政管理局,2026,4,23,21,34.0,0.6,20.0,58.0,34.0,15.0,8.0
2291A,环科院,2026,4,23,21,21.0,0.3,14.0,65.0,14.0,8.0,6.0
2292A,马山宾馆,2026,4,23,21,22.0,0.2,12.0,69.0,15.0,7.0,4.0
2294A,安庆大学,2026,4,23,21,25.0,0.3,7.0,78.0,11.0,4.0,3.0
3173A,市人大,2026,4,23,21,21.0,0.4,10.0,67.0,15.0,7.0,3.0
3123A,凤凰山,2026,4,23,21,53.0,0.6,10.0,84.0,53.0,30.0,10.0
3124A,金钟山,2026,4,23,21,44.0,0.5,7.0,81.0,44.0,30.0,7.0
3125A,娄家坡,2026,4,23,21,43.0,0.7,7.0,81.0,39.0,30.0,11.0
1819A,红庙街,2026,4,23,21,33.0,0.2,12.0,99.0,33.0,20.0,2.0
1820A,银杏小区,2026,4,23,21,36.0,0.1,12.0,102.0,35.0,25.0,4.0
3141A,信访局,2026,4,23,21,45.0,0.3,11.0,102.0,40.0,31.0,2.0
3669A,左辅环卫站,2026,4,23,21,46.0,0.2,12.0,90.0,46.0,28.0,3.0
4117A,钢三路198号,2026,4,23,21,42.0,0.3,10.0,91.0,2.0,29.0,2.0
1748A,深沟寺,2026,4,23,21,76.0,0.8,32.0,85.0,86.0,38.0,15.0
1749A,太阳城,2026,4,23,21,82.0,0.8,31.0,81.0,94.0,42.0,12.0
1750A,太平,2026,4,23,21,89.0,1.1,36.0,86.0,104.0,46.0,14.0
1751A,铁西三道街,2026,4,23,21,80.0,0.5,47.0,72.0,92.0,46.0,10.0
1753A,明达新区,2026,4,23,21,85.0,1.0,36.0,73.0,98.0,43.0,13.0
4201A,兴盛南路290号,2026,4,23,21,93.0,0.6,47.0,72.0,110.0,46.0,11.0
2195A,附二中,2026,4,23,21,91.0,0.4,14.0,92.0,107.0,40.0,9.0
2196A,市环保大楼,2026,4,23,21,91.0,0.4,19.0,81.0,107.0,33.0,6.0
1956A,孔雀公园,2026,4,23,21,135.0,0.3,14.0,72.0,211.0,89.0,11.0
1957A,棉纺厂,2026,4,23,21,156.0,0.0,11.0,84.0,262.0,89.0,0.0
1958A,经济开发区,2026,4,23,21,126.0,0.4,10.0,76.0,187.0,80.0,8.0
3181A,市五中,2026,4,23,21,32.0,0.6,19.0,56.0,29.0,22.0,8.0
3183A,圣泉水务公司,2026,4,23,21,53.0,0.8,44.0,35.0,53.0,22.0,9.0
3616A,市中心医院,2026,4,23,21,36.0,0.7,21.0,55.0,36.0,19.0,10.0
2235A,洮北区环保局,2026,4,23,21,36.0,0.2,11.0,108.0,36.0,20.0,5.0
2236A,市环保局,2026,4,23,21,0.0,0.0,0.0,83.0,51.0,29.0,4.0
2231A,喜丰,2026,4,23,21,80.0,1.1,38.0,51.0,91.0,29.0,12.0
2232A,环保局,2026,4,23,21,56.0,0.9,24.0,54.0,58.0,28.0,10.0
2647A,第三小学,2026,4,23,21,90.0,0.5,31.0,64.0,105.0,53.0,5.0
2648A,动力公司,2026,4,23,21,0.0,0.4,48.0,45.0,0.0,0.0,6.0
2512A,市监测站,2026,4,23,21,0.0,0.4,11.0,0.0,0.0,0.0,8.0
2513A,市中心血站,2026,4,23,21,20.0,0.5,15.0,64.0,15.0,6.0,8.0
4133A,龙景西路,2026,4,23,21,21.0,0.7,11.0,65.0,14.0,8.0,10.0
2270A,工人疗养院,2026,4,23,21,52.0,0.3,16.0,94.0,52.0,21.0,4.0
2271A,百货大楼,2026,4,23,21,38.0,0.4,35.0,71.0,38.0,11.0,5.0
2273A,蚌埠学院,2026,4,23,21,41.0,0.4,35.0,61.0,41.0,10.0,5.0
2274A,淮上区政府,2026,4,23,21,46.0,0.2,32.0,77.0,46.0,11.0,4.0
2275A,高新区,2026,4,23,21,36.0,0.4,23.0,72.0,36.0,11.0,6.0
3715A,蚌埠田家炳中学,2026,4,23,21,52.0,0.3,18.0,90.0,52.0,15.0,4.0
1585A,市环境监测站,2026,4,23,21,110.0,0.4,22.0,102.0,108.0,71.0,6.0
1587A,包头八中,2026,4,23,21,103.0,0.5,34.0,88.0,126.0,62.0,8.0
1589A,惠龙物流,2026,4,23,21,98.0,0.4,16.0,107.0,116.0,37.0,5.0
1590A,东河鸿龙湾,2026,4,23,21,86.0,0.6,46.0,88.0,100.0,51.0,12.0
3283A,滨河大厦,2026,4,23,21,85.0,0.5,23.0,94.0,98.0,45.0,9.0
3419A,包头市委党校,2026,4,23,21,82.0,0.5,43.0,78.0,94.0,43.0,7.0
3683A,昆区政府,2026,4,23,21,0.0,0.4,26.0,0.0,103.0,44.0,3.0
1931A,竹园沟,2026,4,23,21,44.0,0.4,16.0,86.0,44.0,21.0,7.0
1933A,监测站,2026,4,23,21,58.0,0.4,24.0,83.0,61.0,33.0,6.0
1934A,技工学校,2026,4,23,21,49.0,0.5,18.0,99.0,49.0,28.0,4.0
1936A,文理学院,2026,4,23,21,59.0,0.5,33.0,95.0,62.0,33.0,5.0
1937A,三迪小学,2026,4,23,21,70.0,0.5,33.0,110.0,63.0,45.0,6.0
4155A,滨河北路,2026,4,23,21,71.0,0.6,27.0,85.0,79.0,30.0,7.0
4308A,陈仓区北开路21号,2026,4,23,21,70.0,0.5,30.0,110.0,66.0,45.0,8.0
1051A,游泳馆,2026,4,23,21,55.0,0.0,13.0,102.0,56.0,28.0,2.0
1052A,华电二区,2026,4,23,21,0.0,0.4,0.0,105.0,53.0,25.0,3.0
